name,price,rating,address,neighborhood,type,review,lat,lon,photo_url
Sushi Heaven 1,8766,4.0,"5-14-2 Shinjuku, Tokyo",Shinjuku,sushi,Great for tourists and locals alike.,35.711735,139.773965,"https://source.unsplash.com/400x300/?sushi,japan"
Tonkatsu Heaven 2,2139,4.8,"2-18-16 Ikebukuro, Tokyo",Ikebukuro,tonkatsu,Truly a Michelin-level experience.,35.680992,139.721318,"https://source.unsplash.com/400x300/?tonkatsu,japan"
Curry Heaven 3,3385,4.9,"5-9-5 Shibuya, Tokyo",Shibuya,curry,Delicious food and fantastic atmosphere.,35.674466,139.725593,"https://source.unsplash.com/400x300/?curry,japan"
Sushi Heaven 4,18533,4.5,"3-8-13 Roppongi, Tokyo",Roppongi,sushi,One of Tokyo's best-kept secrets.,35.653987,139.723657,"https://source.unsplash.com/400x300/?sushi,japan"
Curry Heaven 5,3383,4.5,"1-20-14 Ebisu, Tokyo",Ebisu,curry,One of Tokyo's best-kept secrets.,35.698406,139.795682,"https://source.unsplash.com/400x300/?curry,japan"
Curry Heaven 6,506,4.0,"5-12-23 Ikebukuro, Tokyo",Ikebukuro,curry,Great for tourists and locals alike.,35.713128,139.707446,"https://source.unsplash.com/400x300/?curry,japan"
Sushi Heaven 7,10572,4.3,"3-11-4 Akihabara, Tokyo",Akihabara,sushi,Perfect place for a date night.,35.683775,139.74056,"https://source.unsplash.com/400x300/?sushi,japan"
Yakitori Heaven 8,18937,5.0,"1-1-21 Roppongi, Tokyo",Roppongi,yakitori,Great for tourists and locals alike.,35.709298,139.756935,"https://source.unsplash.com/400x300/?yakitori,japan"
Tonkatsu Heaven 9,7846,5.0,"4-13-2 Harajuku, Tokyo",Harajuku,tonkatsu,Delicious food and fantastic atmosphere.,35.657053,139.76785,"https://source.unsplash.com/400x300/?tonkatsu,japan"
Izakaya Heaven 10,1755,4.2,"3-6-27 Asakusa, Tokyo",Asakusa,izakaya,Quick service and friendly staff.,35.687834,139.727352,"https://source.unsplash.com/400x300/?izakaya,japan"
Vegan Heaven 11,16476,4.0,"2-6-20 Ikebukuro, Tokyo",Ikebukuro,vegan,A must-visit spot with unforgettable flavors.,35.717419,139.784873,"https://source.unsplash.com/400x300/?vegan,japan"
Tempura Heaven 12,20580,4.1,"3-11-23 Roppongi, Tokyo",Roppongi,tempura,Perfect place for a date night.,35.693166,139.787297,"https://source.unsplash.com/400x300/?tempura,japan"
